Organization,Program Type,Cost per Beneficiary (USD),Income Increase (USD/year),Income Increase (%),Baseline Income Assumed (USD),Years Measured,Cost to Double Income (USD),BOTEC Pass/Fail ($30),Evidence Quality,Source,Source URL,Notes
CGIAR Agricultural R&D,Research & development (SSA),1,6 (benefit),600%,1,Multi-decade,0.17,PASS (but wrong model),High,"Multiple sources: Benefit-cost analysis, USDA ERS",https://www.cambridge.org/core/journals/journal-of-benefit-cost-analysis/article/benefitcost-analysis-of-increased-funding-for-agricultural-research-and-development-in-the-global-south/5E4F7A33E8DBCD5326D3C164AB51F84C,"$1 → $6 benefit (58% IRR). But this is R&D, not direct implementation. Benefits diffuse across millions over decades. Not appropriate for 'double income for $30' BOTEC."
CGIAR Agricultural R&D,Overall BCR,1,10 (benefit),1000%,1,Multi-decade,0.1,PASS (but wrong model),High,"Multiple sources on CGIAR cost-benefit",https://www.ers.usda.gov/amber-waves/2013/may/research-raises-agricultural-productivity-in-sub-saharan-africa/,"Overall 10:1 BCR. But same issue: upstream research, diffuse benefits, high fungibility."
CGIAR,Cost per QALY,304,N/A,N/A,N/A,N/A,N/A,FAIL vs health,Moderate,"EA Forum analysis of Copenhagen Consensus",https://forum.effectivealtruism.org/ea/6k/agricultural_research_and_development/,"$304/QALY worse than GiveWell health interventions ($45-115/DALY). Wrong framework for agriculture."
Extension Services (Mozambique/Tanzania),Community-based advisory,Unknown,Unknown,Unknown,Unknown,RCT period,Unknown,UNKNOWN,High,"RCT published in PLOS One",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0211448,"Gendered modality more cost-effective than basic. But specific cost-per-farmer data not in available sources."
Extension Services (Malawi),ISFM demonstration plots,Unknown,Unknown,14% more adoption,Unknown,1 year,Unknown,UNKNOWN,High,"RCT on Malawi extension services",https://onlinelibrary.wiley.com/doi/full/10.1111/ajae.12135,"14% increase in technology adoption, not direct income effect. Cost data not available."
Extension Services (Ethiopia),Agricultural extension + DA,Unknown,Unknown,Higher adoption,Unknown,RCT period,Unknown,UNKNOWN,High,"RCT on Ethiopia wheat variety adoption",https://www.sciencedirect.com/science/article/abs/pii/S0305750X21002205,"Improved extension increased adoption of improved wheat. Cost-effectiveness not reported."
Farm to Market Alliance,Hybrid seed/fertilizer/herbicide,45,Unknown (but 2x yields),Unknown,Unknown,Unknown,Unknown,POSSIBLY PASS,Low,"Mentioned in One Acre Fund sources",https://oneacrefund.org/articles/feeding-sub-saharan-africa-challenges-we-face-and-how-we-can-achieve-food-security,"$45 for inputs that can double yields. But yield ≠ income. Likely falls short when accounting for yield vs income gap."

BENCHMARKS,,,,,,,,,,,
GiveWell - Malaria Nets (AMF),Health intervention,45-115 per DALY,N/A,N/A,N/A,N/A,N/A,Different metric,Very High,"GiveWell top charity",https://www.givewell.org/how-we-work/criteria/cost-effectiveness,"Cost per DALY averted. Not directly comparable to income doubling."
GiveWell - Bednets (utility equivalent),Health intervention,~500,"Equivalent of 1-year income doubling",~100% for 1 year,500,1 year,500,FAIL,High,"EA Forum analysis of GiveWell",https://forum.effectivealtruism.org/posts/uTSxcDzPLiifryqH6/technical-updates-to-our-global-health-and-wellbeing-cause,"For every ~$500 spent on bednets, produce utility equivalent to doubling income for 1 year."
GiveDirectly,Cash transfer,1000,Direct transfer,Varies,Varies,One-time,~1000,FAIL,Very High,"GiveWell baseline charity",https://www.givewell.org/how-we-work/criteria/cost-effectiveness,"~$1,000 per household cash transfer. Baseline for comparisons."
Open Philanthropy Bar,Various,N/A,N/A,N/A,N/A,N/A,N/A,~1000x cash,Very High,"Open Phil 2019 bar for new programs",https://www.openphilanthropy.org/research/technical-updates-to-our-global-health-and-wellbeing-cause-prioritization-framework/,"Roughly 1,000x GiveDirectly as bar for new programs. Agriculture generally doesn't meet this."

CALCULATION NOTES,,,,,,,,,,,
Note 1: Baseline income calculated as: Income Increase ($) / Income Increase (%) = Baseline Income,,,,,,,,,,,
Note 2: Cost to double income calculated as: Cost per Beneficiary * (100% / Income Increase %) = Cost to double,,,,,,,,,,,
Note 3: For annual costs (like Precision Dev), total cost depends on years of engagement needed,,,,,,,,,,,
Note 4: Yield increases do not equal income increases due to: (a) input costs, (b) labor costs, (c) loan repayment, (d) market prices, (e) not all land treated,,,,,,,,,,,
Note 5: "Cost to double income" assumes linear scaling - in reality, marginal returns may diminish,,,,,,,,,,,
Note 6: Many organizations report median or mean effects; actual distribution varies significantly by farmer/geography,,,,,,,,,,,
